updated,open,high,low,close,average,volume
2023-04-22,27260.85,27882.99,27149.05,27818.87,27516.02,17423
2023-04-21,28245.06,28360.43,27159.82,27260.85,27760.125,42728
2023-04-20,28828.2,29094.52,28009.24,28245.06,28551.88,41215
2023-04-19,30396.77,30418.14,28613.35,28828.2,29515.745,51508
2023-04-18,29446.77,30487.36,29141.12,30396.77,29814.24,36452
2023-04-17,30322.77,30329.15,29260.88,29446.77,29795.015,34529
2023-04-16,30321.23,30562.23,30152.86,30322.77,30357.545,17269
2023-04-15,30493.01,30611.18,30240.41,30321.23,30425.795,13588
2023-04-14,30404.37,31023.78,30017.62,30493.01,30520.7,48197
2023-04-13,29905.2,30590.87,29881.39,30404.37,30236.13,31914
2023-04-12,30226.1,30501.9,29702.95,29905.2,30102.425000000003,36411
2023-04-11,29654.81,30555.43,29610.52,30226.1,30082.975,47128
2023-04-10,28341.05,29774.9,28185.87,29654.81,28980.385,41842
2023-04-09,27953.79,28540.31,27819.81,28341.05,28180.06,16313
2023-04-08,27910.62,28160.84,27868.97,27953.79,28014.905,9267
2023-04-07,28045.06,28110.71,27791.0,27910.62,27950.855,14615
2023-04-06,28181.03,28190.92,27726.09,28045.06,27958.505,25919
2023-04-05,28178.13,28781.48,27841.22,28181.03,28311.35,38734
2023-04-04,27810.08,28437.75,27674.33,28178.13,28056.04,33855
2023-04-03,28186.76,28494.64,27290.26,27810.08,27892.45,52416
2023-04-02,28465.3,28538.36,27880.95,28186.76,28209.655,21016
2023-04-01,28477.29,28810.95,28265.42,28465.3,28538.185,19774
2023-03-31,28037.46,28650.47,27541.23,28477.29,28095.85,50916
2023-03-30,28355.87,29172.9,27731.64,28037.46,28452.27,63033
2023-03-29,27274.9,28640.99,27261.75,28355.87,27951.370000000003,52216
2023-03-28,27145.09,27501.44,26660.19,27274.9,27080.815,38686
2023-03-27,27996.81,28044.15,26565.75,27145.09,27304.95,48705
2023-03-26,27493.43,28212.64,27447.43,27996.81,27830.035,29291
2023-03-25,27491.73,27810.74,27188.56,27493.43,27499.65,26897
2023-03-24,28345.69,28417.0,27047.96,27491.73,27732.48,56653
2023-03-23,27317.37,28810.23,27188.53,28345.69,27999.38,69232
2023-03-22,28185.99,28877.16,26681.65,27317.37,27779.405,85640
2023-03-21,27807.29,28498.09,27411.61,28185.99,27954.85,47709
2023-03-20,28037.32,28534.79,27229.43,27807.29,27882.11,65776
2023-03-19,26973.38,28448.08,26902.0,28037.32,27675.04,48141
2023-03-18,27440.55,27746.59,26658.45,26973.38,27202.52,48417
2023-03-17,25051.31,27784.36,24945.47,27440.55,26364.915,96356
2023-03-16,24369.16,25210.61,24221.04,25051.31,24715.825,55375
2023-03-15,24758.71,25249.88,23950.43,24369.16,24600.155,74030
2023-03-14,24205.82,26507.17,24084.6,24758.71,25295.885,109089
2023-03-13,22180.75,24575.29,21897.79,24205.82,23236.54,94186
2023-03-12,20610.5,22215.0,20448.6,22180.75,21331.8,63908
2023-03-11,20207.71,20847.54,19898.92,20610.5,20373.23,69272
